09:06:55.177 logback [http-nio-8085-exec-4] WARN  c.a.d.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/vtube?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=UTC&socketTimeout=60000&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true, version : 1.2.5, lastPacketReceivedIdleMillis : 109843
09:06:55.179 logback [http-nio-8085-exec-4] WARN  c.a.d.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/vtube?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=UTC&socketTimeout=60000&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true, version : 1.2.5, lastPacketReceivedIdleMillis : 109846
09:08:10.322 logback [http-nio-8085-exec-8] WARN  c.a.d.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/vtube?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=UTC&socketTimeout=60000&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true, version : 1.2.5, lastPacketReceivedIdleMillis : 69675
09:12:37.820 logback [http-nio-8085-exec-5] WARN  c.a.d.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/vtube?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=UTC&socketTimeout=60000&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true, version : 1.2.5, lastPacketReceivedIdleMillis : 267483
09:12:37.824 logback [http-nio-8085-exec-1] WARN  c.a.d.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/vtube?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=UTC&socketTimeout=60000&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true, version : 1.2.5, lastPacketReceivedIdleMillis : 267477
09:15:41.165 logback [http-nio-8085-exec-5] WARN  c.a.d.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/vtube?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=UTC&socketTimeout=60000&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true, version : 1.2.5, lastPacketReceivedIdleMillis : 151209
09:15:41.166 logback [http-nio-8085-exec-3] WARN  c.a.d.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/vtube?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=UTC&socketTimeout=60000&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true, version : 1.2.5, lastPacketReceivedIdleMillis : 151223
09:24:31.762 logback [http-nio-8085-exec-1] WARN  c.a.d.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/vtube?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=UTC&socketTimeout=60000&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true, version : 1.2.5, lastPacketReceivedIdleMillis : 530578
09:24:31.762 logback [http-nio-8085-exec-2] WARN  c.a.d.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/vtube?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=UTC&socketTimeout=60000&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true, version : 1.2.5, lastPacketReceivedIdleMillis : 530573
09:27:04.410 logback [http-nio-8085-exec-6] WARN  c.a.d.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/vtube?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=UTC&socketTimeout=60000&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true, version : 1.2.5, lastPacketReceivedIdleMillis : 152626
